year,team,verbose_name,week,day,boxscore_url,time,boxscore_text,result,OT,record,at,opponent,team_score,opp_score,off_first_downs,off_total_yds,off_pass_yds,off_rush_yds,off_turn_overs,def_first_downs,def_total_yds,def_pass_yds,def_rush_yds,def_turn_overs,off_exp_pts,def_exp_pts,specialTm_exp_pts,Won_Toss,Roof,Surface,Vegas_Line_Close,O/U_Line,O/U_Result,aFirst_Downs,hFirst_Downs,aRush-Yds-Tds,hRush-Yds-Tds,aCmp-Att-Yd-TD-INT,hCmp-Att-Yd-TD-INT,aSacked-Yds,hSacked-Yds,aNet_Pass_Yds,hNet_Pass_Yds,aTotal_Yds,h_Total_Yds,aFumbles-Lost,hFumbles-Lost,aTurnovers,hTurnovers,aPenalties-Yds,h-Penalties-Yds,aThird_Down_Conv,hThird_Down_Conv,aFourth_Down_Conv,hFourth_Down_Conv,aTime_of_Possesion,hTime_of_Possesion
2022,crd,Arizona Cardinals,7,Thu,A,05:15:00,,,,,,New Orleans Saints,,,,,,,,,,,,,,,,,,,Arizona Cardinals -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,den,Denver Broncos,7,Sun,I,01:05:00,,,,,,New York Jets,,,,,,,,,,,,,,,,,,,Denver Broncos -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,rai,Las Vegas Raiders,7,Sun,J,01:05:00,,,,,,Houston Texans,,,,,,,,,,,,,,,,,,,Las Vegas Raiders -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,sdg,Los Angeles Chargers,7,Sun,K,01:25:00,,,,,,Seattle Seahawks,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,sfo,San Francisco 49ers,7,Sun,L,01:25:00,,,,,,Kansas City Chiefs,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,mia,Miami Dolphins,7,Sun,M,05:20:00,,,,,,Pittsburgh Steelers,,,,,,,,,,,,,,,,,,,Miami Dolphins -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,cin,Cincinnati Bengals,7,Sun,B,10:00:00,,,,,,Atlanta Falcons,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,dal,Dallas Cowboys,7,Sun,C,10:00:00,,,,,,Detroit Lions,,,,,,,,,,,,,,,,,,,Dallas Cowboys -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,oti,Tennessee Titans,7,Sun,D,10:00:00,,,,,,Indianapolis Colts,,,,,,,,,,,,,,,,,,,Tennessee Titans -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,was,Washington Redskins,7,Sun,E,10:00:00,,,,,,Green Bay Packers,,,,,,,,,,,,,,,,,,,Green Bay Packers -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,car,Carolina Panthers,7,Sun,F,10:00:00,,,,,,Tampa Bay Buccaneers,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -10.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,jax,Jacksonville Jaguars,7,Sun,G,10:00:00,,,,,,New York Giants,,,,,,,,,,,,,,,,,,,Jacksonville Jaguars -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,rav,Baltimore Ravens,7,Sun,H,10:00:00,,,,,,Cleveland Browns,,,,,,,,,,,,,,,,,,,Baltimore Ravens -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,nwe,New England Patriots,7,Mon,N,05:15:00,,,,,,Chicago Bears,,,,,,,,,,,,,,,,,,,New England Patriots -7.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,nor,New Orleans Saints,7,Thu,A,05:15:00,,,,,@,Arizona Cardinals,,,,,,,,,,,,,,,,,,,Arizona Cardinals -1.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,nyj,New York Jets,7,Sun,I,01:05:00,,,,,@,Denver Broncos,,,,,,,,,,,,,,,,,,,Denver Broncos -3.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,htx,Houston Texans,7,Sun,J,01:05:00,,,,,@,Las Vegas Raiders,,,,,,,,,,,,,,,,,,,Las Vegas Raiders -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,sea,Seattle Seahawks,7,Sun,K,01:25:00,,,,,@,Los Angeles Chargers,,,,,,,,,,,,,,,,,,,Los Angeles Chargers -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,kan,Kansas City Chiefs,7,Sun,L,01:25:00,,,,,@,San Francisco 49ers,,,,,,,,,,,,,,,,,,,Kansas City Chiefs -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,pit,Pittsburgh Steelers,7,Sun,M,05:20:00,,,,,@,Miami Dolphins,,,,,,,,,,,,,,,,,,,Miami Dolphins -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,atl,Atlanta Falcons,7,Sun,B,10:00:00,,,,,@,Cincinnati Bengals,,,,,,,,,,,,,,,,,,,Cincinnati Bengals -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,det,Detroit Lions,7,Sun,C,10:00:00,,,,,@,Dallas Cowboys,,,,,,,,,,,,,,,,,,,Dallas Cowboys -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,clt,Indianapolis Colts,7,Sun,D,10:00:00,,,,,@,Tennessee Titans,,,,,,,,,,,,,,,,,,,Tennessee Titans -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,gnb,Green Bay Packers,7,Sun,E,10:00:00,,,,,@,Washington Redskins,,,,,,,,,,,,,,,,,,,Green Bay Packers -5.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,tam,Tampa Bay Buccaneers,7,Sun,F,10:00:00,,,,,@,Carolina Panthers,,,,,,,,,,,,,,,,,,,Tampa Bay Buccaneers -10.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,nyg,New York Giants,7,Sun,G,10:00:00,,,,,@,Jacksonville Jaguars,,,,,,,,,,,,,,,,,,,Jacksonville Jaguars -2.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,cle,Cleveland Browns,7,Sun,H,10:00:00,,,,,@,Baltimore Ravens,,,,,,,,,,,,,,,,,,,Baltimore Ravens -6.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
2022,chi,Chicago Bears,7,Mon,N,05:15:00,,,,,@,New England Patriots,,,,,,,,,,,,,,,,,,,New England Patriots -7.5,,,,,0-0-0,0-0-0,0-0-0-0-0,0-0-0-0-0,,,,,,,,,,,0-0,0-0,0-0,0-0,0-0,0-0,,
